City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yumen,CN,40.2833,97.2,81.61,15,88,12.71,overcast clouds
1,Barrow,US,71.2906,-156.7887,37.42,87,100,11.5,overcast clouds
2,Hervey Bay,AU,-25.2986,152.8535,58.64,93,100,10.04,overcast clouds
3,Thompson,CA,55.7435,-97.8558,62.76,72,75,6.91,broken clouds
4,Kapaa,US,22.0752,-159.319,84.18,71,20,16.11,few clouds
5,Airai,TL,-8.9266,125.4092,66.45,64,77,3.47,broken clouds
6,Chuy,UY,-33.6971,-53.4616,48.72,90,100,17.18,light rain
7,Bandarbeyla,SO,9.4942,50.8122,79.52,63,31,22.82,scattered clouds
8,Mataura,NZ,-46.1927,168.8643,44.47,93,100,10.29,overcast clouds
9,Hithadhoo,MV,-0.6,73.0833,82.38,75,50,8.66,scattered clouds
10,College,US,64.8569,-147.8028,75.18,61,100,8.05,mist
11,Qaanaaq,GL,77.484,-69.3632,41.5,82,89,5.59,overcast clouds
12,Cape Town,ZA,-33.9258,18.4232,54.12,92,75,6.91,light rain
13,Kadoshkino,RU,54.0257,44.4191,69.35,68,100,8.77,overcast clouds
14,Tocopilla,CL,-22.092,-70.1979,62.15,62,89,9.82,overcast clouds
15,Rikitea,PF,-23.1203,-134.9692,74.66,74,0,11.99,clear sky
16,Ahuimanu,US,21.4447,-157.8378,83.91,65,75,16.11,broken clouds
17,Tarves,GB,57.371,-2.2212,65.68,75,100,11.5,overcast clouds
18,Berlevag,NO,70.8578,29.0864,51.8,93,100,2.3,mist
19,Jumla,NP,29.2747,82.1838,66.87,82,93,2.01,overcast clouds
20,Sioux Lookout,CA,50.1001,-91.917,60.87,94,100,9.22,overcast clouds
21,Atuona,PF,-9.8,-139.0333,77.61,74,17,16.8,few clouds
22,Luderitz,NA,-26.6481,15.1594,54.27,67,0,14.2,clear sky
23,Leningradskiy,RU,69.3833,178.4167,50.2,57,37,14.07,scattered clouds
24,Vagur,FO,61.4732,-6.8119,52.12,85,98,42.97,overcast clouds
25,Busselton,AU,-33.65,115.3333,61.07,73,65,12.5,broken clouds
26,Dudinka,RU,69.4058,86.1778,49.62,53,96,18.25,overcast clouds
27,Comodoro Rivadavia,AR,-45.8667,-67.5,35.46,75,0,4.61,clear sky
28,Zbarazh,UA,49.6636,25.7762,47.07,97,75,10.67,broken clouds
29,Bluff,NZ,-46.6,168.3333,44.8,80,100,23.44,overcast clouds
30,Makakilo City,US,21.3469,-158.0858,82.72,54,40,16.11,scattered clouds
31,Inzhavino,RU,52.3185,42.4937,70.07,62,100,6.02,overcast clouds
32,Torbay,CA,47.6666,-52.7314,60.39,66,75,17.27,broken clouds
33,Saint-Philippe,RE,-21.3585,55.7679,66.22,69,47,14.99,scattered clouds
34,Ponta Do Sol,PT,32.6667,-17.1,68.63,70,19,4.9,few clouds
35,Adrar,MR,20.5022,-10.0711,92.7,13,21,6.73,few clouds
36,Barra Do Bugres,BR,-15.0725,-57.1811,71.82,50,76,4.16,broken clouds
37,Ixtapa,MX,20.7,-105.2,83.43,70,75,6.91,broken clouds
38,Dwarka,IN,22.2394,68.9678,82.27,82,98,23.51,light rain
39,Albany,US,42.6001,-73.9662,76.17,63,4,8.37,clear sky
40,Bredasdorp,ZA,-34.5322,20.0403,47.88,85,1,5.48,clear sky
41,Rodrigues Alves,BR,-7.738,-72.6509,75.67,77,79,2.86,broken clouds
42,Tiksi,RU,71.6872,128.8694,35.76,97,100,18.1,light rain
43,Kodiak,US,57.79,-152.4072,67.51,60,0,6.91,clear sky
44,Constitucion,CL,-35.3333,-72.4167,46.92,86,39,3.29,scattered clouds
45,Alice Springs,AU,-23.7,133.8833,58.55,41,0,18.41,clear sky
46,New Norfolk,AU,-42.7826,147.0587,53.92,81,55,2.39,broken clouds
47,La Ronge,CA,55.1001,-105.2842,62.85,82,75,3.44,broken clouds
48,Hobart,AU,-42.8794,147.3294,54.27,73,40,8.05,scattered clouds
49,Ribeira Grande,PT,38.5167,-28.7,68.31,86,15,5.28,few clouds
50,Butaritari,KI,3.0707,172.7902,81.81,80,65,16.28,light rain
51,Sarkand,KZ,45.41,79.9186,74.95,37,100,2.93,overcast clouds
52,Rawalpindi,PK,33.6007,73.0679,87.46,58,96,1.03,overcast clouds
53,Hermanus,ZA,-34.4187,19.2345,52.81,79,0,6.11,clear sky
54,Punta Arenas,CL,-53.15,-70.9167,30.31,80,75,12.66,broken clouds
55,Hilo,US,19.7297,-155.09,83.28,69,0,10.36,clear sky
56,Saint Anthony,US,45.0205,-93.218,73.29,63,0,18.41,clear sky
57,Orsha,BY,54.5153,30.4053,56.34,98,100,9.26,overcast clouds
58,Port Alfred,ZA,-33.5906,26.891,56.23,72,1,8.59,clear sky
59,Akola,IN,20.7333,77.0,76.71,89,100,18.05,overcast clouds
60,Matamoros,MX,25.5333,-103.25,86.23,23,2,3.29,clear sky
61,Skibbereen,IE,51.55,-9.2667,64.11,85,100,5.91,overcast clouds
62,Samana,DO,19.2056,-69.3369,77.49,89,17,5.32,few clouds
63,Talcahuano,CL,-36.7167,-73.1167,49.68,81,100,4.61,overcast clouds
64,Ushuaia,AR,-54.8,-68.3,35.26,55,40,8.05,scattered clouds
65,Maniitsoq,GL,65.4167,-52.9,38.26,91,78,2.1,broken clouds
66,Lasa,IT,46.6166,10.7002,61.68,84,17,4.52,few clouds
67,Klaksvik,FO,62.2266,-6.589,50.92,90,83,40.22,light rain
68,Nerchinskiy Zavod,RU,51.3088,119.61,58.96,95,100,2.93,overcast clouds
69,Shingu,JP,33.7333,135.9833,86.47,67,33,6.98,scattered clouds
70,Bubaque,GW,11.2833,-15.8333,79.34,84,54,12.21,light rain
71,Smithers,CA,54.7804,-127.1743,61.12,63,75,3.44,broken clouds
72,Flin Flon,CA,54.7682,-101.865,65.71,59,98,6.69,overcast clouds
73,Nome,US,64.5011,-165.4064,61.16,72,100,10.36,overcast clouds
74,Avarua,CK,-21.2078,-159.775,77.05,65,75,6.91,broken clouds
75,Shebunino,RU,46.4339,141.8603,72.59,77,100,3.69,light rain
76,Yellowknife,CA,62.456,-114.3525,72.12,56,40,10.36,scattered clouds
77,Fairbanks,US,64.8378,-147.7164,75.2,61,0,8.05,clear sky
78,Georgetown,MY,5.4112,100.3354,78.73,95,40,5.01,scattered clouds
79,Husavik,IS,66.0449,-17.3389,45.79,98,100,16.98,light rain
80,Usakos,NA,-22.0,15.6,57.34,33,0,5.79,clear sky
81,Iqaluit,CA,63.7506,-68.5145,46.13,81,75,8.05,broken clouds
82,Blackwater,AU,-23.5833,148.8833,56.37,56,100,7.63,overcast clouds
83,Vaini,TO,-21.2,-175.2,80.76,74,20,11.5,few clouds
84,Jamestown,US,42.097,-79.2353,76.64,64,0,12.66,clear sky
85,Yerbogachen,RU,61.2767,108.0108,54.82,51,95,6.87,overcast clouds
86,Ahipara,NZ,-35.1667,173.1667,59.58,80,5,18.5,clear sky
87,Kabalo,CD,-6.05,26.9167,74.53,41,71,4.72,broken clouds
88,Kostomuksha,RU,64.571,30.5767,61.25,93,100,2.68,moderate rain
89,Elban,RU,50.1018,136.5094,76.46,64,100,3.22,overcast clouds
90,Santa Cruz,BO,-17.8,-63.1667,76.46,83,75,2.3,broken clouds
91,Shaoguan,CN,24.8,113.5833,89.73,63,12,2.37,few clouds
92,Beroroha,MG,-21.6667,45.1667,57.51,87,0,3.38,clear sky
93,Coleraine,GB,55.1333,-6.6667,58.41,89,100,8.72,overcast clouds
94,Beringovskiy,RU,63.05,179.3167,49.01,84,34,5.44,scattered clouds
95,Puerto Ayora,EC,-0.7393,-90.3518,70.56,90,50,5.99,scattered clouds
96,Marawi,PH,7.9986,124.2928,83.91,53,83,1.66,broken clouds
97,Tasiilaq,GL,65.6145,-37.6368,46.56,74,100,2.77,overcast clouds
98,Nanortalik,GL,60.1432,-45.2371,40.57,93,100,8.63,overcast clouds
99,Khani,GE,41.9563,42.9566,62.17,98,100,1.12,overcast clouds
100,Port Elizabeth,ZA,-33.918,25.5701,56.32,79,0,7.0,clear sky
101,Tabou,CI,4.423,-7.3528,75.27,84,100,9.64,light rain
102,Mar Del Plata,AR,-38.0023,-57.5575,45.09,73,75,13.0,broken clouds
103,Abha,SA,18.2164,42.5053,64.22,82,0,0.0,clear sky
104,Puri,IN,19.8,85.85,82.92,78,95,4.81,overcast clouds
105,Geraldton,AU,-28.7667,114.6,59.41,72,0,8.05,clear sky
106,Khash,IR,28.2211,61.2158,80.74,33,58,1.59,broken clouds
107,Vao,NC,-22.6667,167.4833,69.42,61,0,7.25,clear sky
108,Paka,MY,4.6374,103.4368,82.33,78,20,5.75,few clouds
109,Broome,US,42.2506,-75.833,76.86,64,0,9.22,clear sky
110,Bambous Virieux,MU,-20.3428,57.7575,71.22,73,40,16.11,scattered clouds
111,Iisalmi,FI,63.5592,27.1907,58.51,94,100,1.95,overcast clouds
112,Bethel,US,41.3712,-73.414,71.91,71,0,8.05,clear sky
113,Kavaratti,IN,10.5669,72.642,81.63,77,100,17.69,overcast clouds
114,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,51.98,75,8,11.48,clear sky
115,Yar-Sale,RU,66.8333,70.8333,56.12,53,91,1.72,overcast clouds
116,Senno,RU,59.5336,33.9167,66.25,95,75,4.27,light rain
117,Sabha,LY,27.0377,14.4283,80.82,28,0,13.27,clear sky
118,Tiarei,PF,-17.5333,-149.3333,82.42,79,20,14.18,few clouds
119,Nandu,CN,22.8525,110.8233,90.28,65,24,1.43,few clouds
120,Cabo San Lucas,MX,22.8909,-109.9124,87.1,67,33,12.06,scattered clouds
121,Owase,JP,34.0667,136.2,83.75,77,42,4.21,scattered clouds
122,Ancud,CL,-41.8697,-73.8203,44.22,91,100,27.76,moderate rain
123,Kundiawa,PG,-6.0167,144.9667,74.23,72,72,2.21,broken clouds
124,Hasaki,JP,35.7333,140.8333,84.29,87,100,7.56,overcast clouds
125,Kolokani,ML,13.5728,-8.0339,74.14,78,100,5.99,overcast clouds
126,Chokurdakh,RU,70.6333,147.9167,54.39,89,100,12.57,light rain
127,Aklavik,CA,68.2191,-135.0107,59.59,67,32,18.79,light rain
128,Sibu,MY,2.3,111.8167,79.11,83,40,3.44,scattered clouds
129,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,77.59,61,20,15.66,few clouds
130,Goure,NE,13.9835,10.2704,86.02,33,49,5.17,scattered clouds
131,Sibolga,ID,1.7427,98.7792,83.52,64,100,3.15,overcast clouds
132,Vila Velha,BR,-20.3297,-40.2925,69.75,95,75,0.0,broken clouds
133,Opuwo,NA,-18.0607,13.84,56.34,42,0,5.39,clear sky
134,East London,ZA,-33.0153,27.9116,57.85,66,0,5.5,clear sky
135,Pokhara,NP,28.2333,83.9833,79.72,80,61,4.34,broken clouds
136,Katsuura,JP,35.1333,140.3,78.08,84,100,5.79,overcast clouds
137,Clovis,US,36.8252,-119.7029,102.09,23,40,6.91,haze
138,Cidreira,BR,-30.1811,-50.2056,56.19,93,100,16.42,moderate rain
139,Dombarovskiy,RU,50.7587,59.5386,74.08,64,0,11.1,clear sky
140,Kamenka,RU,51.3223,42.7678,66.31,83,45,6.24,scattered clouds
141,Solhan,TR,38.9634,41.0293,64.26,69,0,5.48,clear sky
142,Evansville,US,37.9748,-87.5558,80.6,75,0,0.0,clear sky
143,Esmeraldas,BR,-19.7625,-44.3139,61.66,52,62,2.98,broken clouds
144,Srednekolymsk,RU,67.45,153.6833,89.51,39,58,12.53,broken clouds
145,Guerrero Negro,MX,27.9769,-114.0611,66.81,85,43,17.72,scattered clouds
146,Lagoa,PT,39.05,-27.9833,67.12,91,36,8.61,scattered clouds
147,Alyangula,AU,-13.8483,136.4192,73.04,55,5,15.3,clear sky
148,Namatanai,PG,-3.6667,152.4333,85.59,66,50,9.46,scattered clouds
149,Rach Gia,VN,10.0167,105.0833,79.56,89,100,27.02,overcast clouds
150,Turukhansk,RU,65.8167,87.9833,52.95,52,40,14.5,scattered clouds
151,Saint George,US,37.1041,-113.5841,106.39,11,0,9.22,clear sky
152,Namtsy,RU,62.7161,129.6658,71.53,60,85,2.15,overcast clouds
153,Huarmey,PE,-10.0681,-78.1522,61.9,86,8,9.71,clear sky
154,Namibe,AO,-15.1961,12.1522,63.86,89,2,6.98,clear sky
155,Mount Gambier,AU,-37.8333,140.7667,49.17,88,89,9.78,light rain
156,Evinayong,GQ,1.4368,10.5512,65.14,93,96,1.97,overcast clouds
157,Mecca,SA,21.4267,39.8261,84.54,31,74,3.58,broken clouds
158,Acari,PE,-15.4311,-74.6158,63.43,77,71,2.73,broken clouds
159,Santa Lucia,ES,27.9117,-15.5407,62.76,73,20,25.32,few clouds
160,Egvekinot,RU,66.3167,-179.1667,51.48,70,96,4.27,overcast clouds
161,Damietta,EG,31.4165,31.8133,78.69,80,5,6.55,clear sky
162,Saint-Francois,FR,46.4154,3.9054,58.68,100,0,2.3,clear sky
163,Chapais,CA,49.7834,-74.8492,62.38,100,95,4.32,overcast clouds
164,Ambon,ID,-3.6954,128.1814,80.74,83,40,8.05,scattered clouds
165,Viedma,AR,-40.8135,-62.9967,36.97,66,6,9.22,clear sky
166,Kysyl-Syr,RU,63.8986,122.7617,75.42,48,54,7.83,broken clouds
167,Awjilah,LY,29.1081,21.2869,74.88,49,0,13.4,clear sky
168,Gigmoto,PH,13.7796,124.39,86.29,72,99,6.51,overcast clouds
169,Dikson,RU,73.5069,80.5464,37.69,92,100,6.22,overcast clouds
170,Vestmannaeyjar,IS,63.4427,-20.2734,52.48,93,100,14.99,overcast clouds
171,Severo-Kurilsk,RU,50.6789,156.125,59.92,84,21,7.34,few clouds
172,Longyearbyen,SJ,78.2186,15.6401,48.04,76,75,11.5,broken clouds
173,Sakakah,SA,29.9697,40.2064,81.97,23,1,6.33,clear sky
174,Jutai,BR,-5.1833,-68.9,76.91,81,100,0.29,overcast clouds
175,Chotila,IN,22.4167,71.1833,76.23,86,99,17.65,overcast clouds
176,Buraydah,SA,26.326,43.975,84.65,16,74,8.72,broken clouds
177,Sterling,US,39.0062,-77.4286,74.19,68,20,8.05,few clouds
178,Kruisfontein,ZA,-34.0033,24.7314,49.33,80,0,6.38,clear sky
179,Castro,BR,-24.7911,-50.0119,66.33,50,100,14.76,overcast clouds
180,Edgemoor,US,39.7501,-75.4996,72.95,79,0,1.99,clear sky
181,Atlantic City,US,39.3643,-74.4229,71.98,83,0,8.05,clear sky
182,Supaul,IN,26.1167,86.6,89.73,58,23,15.1,few clouds
183,Zhigalovo,RU,54.8097,105.1578,75.15,39,82,5.91,broken clouds
184,Tura,IN,25.5198,90.2201,85.71,66,1,2.82,clear sky
185,Beira,MZ,-19.8436,34.8389,66.29,94,40,2.3,mist
186,Teluknaga,ID,-6.0989,106.6381,90.63,74,20,4.61,haze
187,Kidal,ML,18.4411,1.4078,87.39,37,11,6.42,few clouds
188,Honningsvag,NO,70.9821,25.9704,51.55,93,15,0.0,few clouds
189,Shenjiamen,CN,29.9576,122.298,81.43,85,92,18.14,overcast clouds
190,Pangnirtung,CA,66.1451,-65.7125,51.49,79,100,1.99,light rain
191,Northam,GB,51.0333,-4.2167,68.4,68,100,5.59,overcast clouds
192,Batagay,RU,67.6333,134.6333,65.73,66,100,8.52,overcast clouds
193,Calabozo,VE,8.9242,-67.4293,72.91,95,84,3.06,broken clouds
194,Pisco,PE,-13.7,-76.2167,59.05,82,40,2.3,mist
195,Kahului,US,20.8947,-156.47,86.02,64,40,23.02,scattered clouds
196,Tautira,PF,-17.7333,-149.15,76.86,80,32,13.44,light rain
197,Mahebourg,MU,-20.4081,57.7,71.26,73,40,16.11,scattered clouds
198,Ostrovnoy,RU,68.0531,39.5131,63.07,83,99,4.38,overcast clouds
199,Acarau,BR,-2.8856,-40.12,79.2,77,94,15.57,overcast clouds
200,Mogadishu,SO,2.0371,45.3438,75.43,84,58,14.45,light rain
201,Donegal,IE,54.65,-8.1167,61.27,87,100,7.52,overcast clouds
202,Itarema,BR,-2.9248,-39.9167,78.82,79,94,14.45,overcast clouds
203,Bowen,AU,-20.0167,148.2333,70.07,61,34,4.92,scattered clouds
204,Nikolskoye,RU,59.7035,30.7861,64.29,98,93,5.03,overcast clouds
205,Svetlogorsk,BY,52.6333,29.7333,54.52,96,100,15.1,overcast clouds
206,Mana,GF,5.6592,-53.7767,77.72,87,99,6.78,overcast clouds
207,Golden,US,39.7555,-105.2211,73.0,60,60,1.99,broken clouds
208,Altamira,BR,-3.2033,-52.2064,75.72,78,91,2.59,overcast clouds
209,Kraljevo,RS,43.7258,20.6894,44.6,100,0,0.0,clear sky
210,Carnarvon,AU,-24.8667,113.6333,68.58,50,0,6.42,clear sky
211,Kollam,IN,8.8833,76.6,78.57,87,100,12.3,overcast clouds
212,Phan Thiet,VN,10.9333,108.1,81.86,76,97,12.3,overcast clouds
213,Mackenzie,CA,55.2999,-123.1698,61.02,77,75,12.66,broken clouds
214,San Patricio,US,28.017,-97.5169,87.17,72,11,13.85,few clouds
215,Berdigestyakh,RU,62.0989,126.6992,68.97,62,91,2.77,overcast clouds
216,Vila Franca Do Campo,PT,37.7167,-25.4333,71.2,86,92,7.43,overcast clouds
217,Dalby,AU,-27.1833,151.2667,55.83,59,98,10.42,overcast clouds
218,Saldanha,ZA,-33.0117,17.9442,51.85,85,11,6.67,few clouds
219,Korla,CN,41.7597,86.1469,81.61,30,95,7.63,overcast clouds
220,Norman Wells,CA,65.282,-126.8329,66.24,72,75,9.22,smoke
221,Kutum,SD,14.2,24.6667,72.12,72,96,14.99,overcast clouds
222,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.56,94,100,4.61,overcast clouds
223,Clyde River,CA,70.4692,-68.5914,39.43,100,100,16.11,mist
224,Esperance,AU,-33.8667,121.9,60.42,55,0,17.81,clear sky
225,Novaya Bryan,RU,51.7159,108.2691,76.71,33,12,4.41,few clouds
226,Khatanga,RU,71.9667,102.5,37.54,97,100,12.64,moderate rain
227,Narsaq,GL,60.9167,-46.05,41.02,90,43,3.83,scattered clouds
228,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,93,100,12.66,mist
